Model,MAE,RMSE,R2,MAPE_Percent,NRMSE_Percent,Training_Time_Seconds
Voting Regressor,2442.657434770159,3500.078444904937,0.9384783660578387,3.9801762022114753,5.396359614536167,15.645018749986775
XGBoost,2516.655885308654,3556.9353228863174,0.9364633603586032,4.153478150882633,5.484020552705701,0.627257417072542
Random Forest,2592.12960310893,3642.3052115176965,0.9333768786738494,4.2120975642416685,5.615642351062377,4.280626374995336
Gradient Boosting,2499.693929546225,3670.6967853681263,0.9323341832559696,4.001838261792293,5.659415982119877,13.273611332988366
Linear Regression,3160.7585329213116,4656.029149507947,0.8911311372047268,4.852488818131697,7.178584155187494,0.004566041054204106
Naive Baseline,4177.713017520848,5935.211531018438,0.8230931258015335,6.463030619986543,9.150805135908081,0.0
