Model,MAE,RMSE,R2,MAPE_Percent,NRMSE_Percent,Training_Time_Seconds,Model_Size_MB,RMSE_Change_Percent,Within_3_Percent_RMSE
Compact Ensemble B,2468.824638006123,3571.2126589804593,0.9359522717567592,3.9807108329372802,5.506033099314118,8.250913916970603,14.634538650512695,2.0323605654916785,True
Compact Ensemble A,2432.7361154067944,3534.5160585218564,0.9372617755527699,3.9470892376353928,5.4494549237609835,11.608846082934178,39.66128635406494,0.9839097654239787,True
Compact Ensemble C,2469.76363598276,3605.798086607155,0.9347057236266919,3.9935943345530007,5.559356305589066,7.628787709050812,5.9003801345825195,3.020493493684802,False
