Feature,Importance
Total Power Consumption,0.7501818013132713
lag_1,0.07874281680251126
general diffuse flows,0.06420453695935625
hour,0.044839715389363634
diffuse flows,0.03604502466881458
month,0.005737045719548149
lag_6,0.005211212824330462
Temperature,0.004173377242950258
day_of_week,0.002689149372154146
lag_3,0.002659679097704306
rolling_mean_6,0.0018869830399521643
is_weekend,0.0018267557702729886
Wind Speed,0.0009275251045772426
Humidity,0.0008743814294163889
